"","GSM4861833","GSM4861834","GSM4861835","GSM4861836","GSM4861837","GSM4861838","GSM4861839","GSM4861840","GSM4861841","GSM4861842","GSM4861843","GSM4861844"
"TM9SF2",12.63487725,12.79482293,13.11812959,12.64016992,12.86603255,13.09315808,12.13036874,12.24929193,12.29900825,12.68211368,12.6766955,12.50212901
"CLYBL",9.199287377,9.077793563,8.475189274,9.06410544,8.893566893,8.811518342,9.330316279,9.254761469,8.987452506,8.537182686,8.408246302,8.520663108
"AL137139.2",9.199287377,9.077793563,8.475189274,9.06410544,8.893566893,8.811518342,9.330316279,9.254761469,8.987452506,8.537182686,8.408246302,8.520663108
"ZIC2",5.840294634,5.750379414,5.465630512,5.698101011,5.693932554,5.6992539,5.824586766,5.691163305,5.946136096,5.914021345,5.680839118,5.873286098
"PCCA",7.930241557,7.683876055,8.120784151,7.836335881,7.929267892,8.064285874,7.538993053,7.338368662,7.254611172,7.109245524,6.985848797,7.176653486
"MTMR11",10.16768703,10.6156849,10.35440665,9.954808094,10.43691838,10.83113763,9.782702707,9.67728743,9.870675425,10.47411634,10.49216739,10.7077989
"ITGBL1",3.396659687,2.961021414,3.7585382,3.318124907,3.32007687,3.341744621,3.428648405,3.342127962,3.376154936,4.122381053,3.743373741,4.287613698
"TPP2",11.32123453,11.6492969,11.71682314,11.45329012,11.532139,11.70711984,11.43470064,11.36139057,11.31684481,11.45535042,11.15093783,11.80024864
"ERCC5",8.2355106,8.4383794005,7.84758486,8.0531156575,8.2173672595,8.3442283675,8.6395900575,8.2878363495,8.23089284,7.6919901415,7.754645984,7.690332643
"BIVM-ERCC5",8.2355106,8.4383794005,7.84758486,8.0531156575,8.2173672595,8.3442283675,8.6395900575,8.2878363495,8.23089284,7.6919901415,7.754645984,7.690332643
"DAOA",4.136558258,4.504146129,5.003284061,3.957984805,4.557057259,5.007298265,3.449019909,3.366305434,4.448424848,5.044618953,4.852123332,5.075881881
"DAOA-AS1",4.136558258,4.504146129,5.003284061,3.957984805,4.557057259,5.007298265,3.449019909,3.366305434,4.448424848,5.044618953,4.852123332,5.075881881
"OTUD7B",5.471223633,4.906516127,4.802752908,4.992418219,5.188406857,5.117942091,4.623214,4.466795587,4.397641656,3.748496441,3.803833852,3.396710499
"ABHD13",10.08670159,10.1390956,9.755596091,9.842723124,9.99831126,10.07568961,11.19895371,11.12526811,10.94588924,10.62570088,10.90471389,10.75103966
"TNFSF13B",13.82421242,13.34882901,13.26268499,12.85681376,13.56612438,14.01042777,13.16763785,13.21645874,13.16379512,13.90679003,13.7874321,13.98257148
"MYO16",2.663136378,2.677419645,2.676449167,2.671963789,2.673805596,2.694250556,2.761435291,2.679797516,2.711904222,2.603579297,2.60819241,2.614206045
"MYO16-AS1",2.663136378,2.677419645,2.676449167,2.671963789,2.673805596,2.694250556,2.761435291,2.679797516,2.711904222,2.603579297,2.60819241,2.614206045
"ANP32E",11.13826456,10.81193599,10.61893588,10.77682229,10.84178099,10.92537704,11.51284879,11.3491008,11.30219071,11.17630022,11.36757136,10.88555274
