"","turquoise_gene"
"1307","KIAA1841"
"1308","SSBP1"
"1309","ZNF266"
"1310","TLR3"
"1311","TANGO6"
"1312","FAM30A"
"1313","MALL"
"1314","RTBDN"
"1315","AC020934.1"
"1316","IP6K1"
"1317","FAM118B"
"1318","MAP3K14"
"1319","ZNF547"
"1320","CSF1R"
"1321","STX2"
"1322","AC008695.1"
"1323","TRPS1"
"1324","IRF9"
"1325","AL356512.1"
"1326","GPR37L1"
"1327","CUX1"
"1328","DIPK2A"
"1329","SLFN13"
"1330","MOSMO"
"1331","NEK9"
"1332","NUP210"
"1333","GNPDA1"
"1334","VSNL1"
"1335","ZNF416"
"1336","AC010931.2"
"1337","SCGN"
"1338","OR8B2"
"1339","ERC1"
